id,input,reference_answer
1,"İnternetim sürekli kopuyor, durduk yere bağlantım gidiyor. Ne yapabilirim?","İnternet bağlantınızdaki kopma sorununu anlıyorum, bu gerçekten rahatsız edici bir durum olabilir. Size yardımcı olabilmem için öncelikle kimlik doğrulaması yapmamız ve ardından genel hizmet durumunuzu kontrol etmemiz gerekiyor. Bunun olası nedenleri arasında zayıf kablosuz sinyal, gevşek kablolar, modem arızası veya bölgesel altyapı sorunları bulunabilir. Öncelikle müşteri numaranızı veya telefon numaranızı alabilir miyim? Daha sonra, bölgesel arıza kontrolü yapıp, gerekirse IP oturumunuzu sıfırlama gibi çözüm adımlarını birlikte uygulayabiliriz."
2,"Müşteri numarası 12345 olan kişinin internet bağlantısı neden sürekli kopuyor?","Müşteri numarası 12345'e ait internet bağlantı sorununu detaylıca inceliyorum. Bu tür kesintilerin olası nedenleri arasında bölgesel bir altyapı arızası, hattaki elektriksel parazitler veya modem/yönlendirici kaynaklı problemler olabilir. Sorunu çözmek için öncelikle hizmet durumunuzu kontrol edip, ardından bölgesel bir arıza olup olmadığını sorgulayacak ve gerekirse hattınızda bir test başlatacağım. Bu sayede bağlantının neden koptuğunu anlayıp, IP oturumunu sıfırlama gibi çözüm adımlarını uygulayabiliriz."
3,"Son 3 gündür internetim sürekli gidiyor geliyor, çok sinir bozucu.","İnternetinizin son 3 gündür sürekli gidip gelmesi gerçekten can sıkıcı bir durumdur. Bu sorunun olası nedenleri arasında zayıf kablosuz sinyal, gevşek kablolar, modem arızası, bölgesel altyapı sorunları veya hattınızdaki elektriksel parazitler bulunabilir. Size yardımcı olabilmek için kimlik doğrulaması yapmamız ve ardından hizmet durumunuzu ve hattınızı test etmemiz gerekiyor. Müşteri numaranızı veya telefon numaranızı paylaşabilir misiniz? Bu sayede arıza kaydı oluşturma gibi adımlara geçebiliriz."
4,"İnternetim her 10 dakikada bir kopuyor, İstanbul'da yaşıyorum.","İstanbul'da internet bağlantınızın her 10 dakikada bir kopması oldukça düzenli bir soruna işaret ediyor. Bu durum genellikle bölgesel altyapıdaki yoğunluk, bakım çalışmaları veya hattaki stabilite sorunlarından kaynaklanır. Öncelikle kimliğinizi doğrulamam ve ardından İstanbul'daki bölgesel arızaları kontrol etmem gerekiyor. Müşteri numaranızı veya telefon numaranızı alabilir miyim? Daha sonra hattınızda detaylı bir test başlatarak sorunun kaynağını belirleyebiliriz."
5,"Akşam saatlerinde internet çok yavaş ve sık sık kopuyor.","Akşam saatlerindeki internet yavaşlığı ve kopma sorunu genellikle yoğun kullanım saatlerinde yaşanan ağ tıkanıklığı veya bölgesel kapasite sorunlarından kaynaklanır. Bu durumu çözmek için modeminizde güç döngüsü yapmak, IP oturumunuzu sıfırlamak ve ardından hizmet durumunuzu kontrol etmek önemlidir. Size yardımcı olabilmek için müşteri numaranızı veya telefon numaranızı alabilir miyim?"
6,"Modemim çalışmıyor, hiçbir ışık yanmıyor.","Modeminizde hiçbir ışığın yanmaması, genellikle bir güç problemi veya ciddi bir arıza olduğunu gösterir. Bu durumda yapmanız gereken ilk şey, güç adaptörü ve kablonun prize ve modeme sağlam bir şekilde takılı olduğunu kontrol etmektir. Ardından, modemi 30 saniye boyunca fişten çekip tamamen kapatıp yeniden başlatmayı deneyin. Eğer hala ışıklar yanmıyorsa, farklı bir duvar prizi veya uzatma kablosu olmadan direkt prizde denemenizi öneririm. Bu arada, size yardımcı olabilmem için müşteri numaranızı alabilir miyim?"
7,"Modemde sadece güç ışığı yanıyor, internet ışığı yanmıyor.","Modeminizde sadece güç ışığının yanıp internet ışığının yanmaması, DSL veya fiber bağlantınızda bir sinyal sorunu olduğunu gösterir. Bu durumda, öncelikle modem üzerindeki DSL/Internet ışığının durumunu kontrol etmeliyiz. Müşteri numaranızı veya telefon numaranızı alabilir miyim? Ardından, hattınızda bir test başlatarak sinyal gelip gelmediğini kontrol edebiliriz."
8,"Modemimi fişten çektim ama yine ışıklar yanmıyor.","Modeminizi fişten çekip takmanıza rağmen ışıkların hala yanmaması, modemin kendisinde veya güç adaptöründe bir sorun olabileceğini düşündürüyor. Bu durumda, uygun çıkışlı yedek bir adaptörle test etme veya teknik destek ekibimizin dahili güç kaynağı kontrolü yapması gerekebilir. Müşteri numaranızı alarak arıza kaydı oluşturabiliriz, böylece size daha detaylı yardımcı olabiliriz."
9,"Modemde kırmızı ışık yanıyor, ne anlama geliyor?","Modeminizdeki kırmızı ışık, genellikle ciddi bir bağlantı hatasını veya donanımsal bir arızayı işaret eder. Bu durum, DSL/Internet sinyalinin olmaması veya modeminizin kendisinde bir sorun olduğu anlamına gelebilir. Size yardımcı olabilmek için öncelikle müşteri numaranızı almam ve ardından modem üzerindeki tüm LED göstergelerinin konfigürasyonunu kontrol etmem gerekiyor. Hattınızda bir test başlatarak sorunun kaynağını belirleyebiliriz."
10,"Modemde hiçbir ışık yanmıyor, elektrik var ama çalışmıyor.","Modeminizin elektrik almasına rağmen hiçbir ışığının yanmaması, cihazın dahili güç kaynağında veya anakartında bir arıza olabileceğini düşündürüyor. Bu durumda, öncelikle modemi fişten çekip 30 saniye bekledikten sonra tekrar takarak bir güç döngüsü yapın. Eğer sorun devam ederse, müşteri numaranızı alarak teknik destek ekibi sevk etme veya garanti kapsamında cihaz değişimi/onarım işlemi başlatma gibi adımlar atabiliriz."
11,"Telefondan internete giremiyorum ama bilgisayar çalışıyor.","Telefonunuzdan internete girememeniz ancak bilgisayarınızın çalışması, sorunun genellikle cihazın kendisinden, WiFi bağlantı ayarlarından veya IP oturumu çakışmasından kaynaklandığını gösterir. Öncelikle IP oturumunuzu sıfırlamayı deneyebiliriz. Bu işlem, genellikle cihazlar arasındaki çakışmaları gidermeye yardımcı olur. Müşteri numaranızı alabilir miyim?"
12,"Laptop bağlanıyor ama telefonum WiFi'ye bağlanamıyor.","Laptopunuzun bağlanıp telefonunuzun WiFi'ye bağlanamaması, telefonunuzdaki WiFi ayarları veya IP oturumuyla ilgili bir sorun olabilir. Öncelikle telefonunuzun ağ ayarlarını sıfırlamayı deneyebilirsiniz. Ayrıca, müşteri numaranızı alarak sizin için IP oturumunuzu sıfırlayabilir ve modeminizi bir kez kapatıp açmanızı önerebilirim."
13,"Smart TV internetle bağlanamıyor, diğer cihazlar çalışıyor.","Akıllı TV'nizin internete bağlanamaması, ancak diğer cihazlarınızın sorunsuz çalışması, genellikle TV'nin kendi ağ ayarları, IP oturumu veya kablosuz bağlantı sorunlarından kaynaklanır. Müşteri numaranızı alarak IP oturumunuzu sıfırlamayı deneyebiliriz. Ayrıca TV'nizin ağ ayarlarını kontrol etmeniz veya TV'yi yeniden başlatmanız da sorunu çözebilir."
14,"Tablet WiFi'ye bağlanıyor ama internet açmıyor.","Tabletinizin WiFi'ye bağlanıp internetin açılmaması, genellikle DNS ayarları, IP oturumu çakışması veya cihazın kendi yazılımından kaynaklanır. Müşteri numaranızı alabilir miyim? IP oturumunuzu sıfırlamayı deneyebilir ve size DNS ayarlarınızı kontrol etmeniz konusunda bilgi verebilirim."
15,"Sadece bilgisayarım internete çıkabiliyor, diğer cihazlar bağlanamıyor.","Sadece bilgisayarınızın internete bağlanabilmesi ve diğer cihazların bağlanamaması, genellikle modeminizin veya yönlendiricinizin kablosuz ağ ayarlarıyla, IP dağıtımıyla ya da genel bir IP oturumu sorunuyla ilgili olabilir. Öncelikle modeminizi bir kez kapatıp açmayı deneyin. Müşteri numaranızı alarak IP oturumunuzu sıfırlayabilir ve modeminizin ayarlarını kontrol etmeniz konusunda yardımcı olabilirim."
16,"Ankara'da modemimde hiçbir ışık yanmıyor, elektrik kesinlikle var.","Ankara'da modeminizde hiç ışık yanmaması ve elektriğin var olması ciddi bir sorun olabilir. Bu durumda, öncelikle modeminizi fişten çekip 30 saniye bekledikten sonra tekrar takarak bir güç döngüsü yapın. Ayrıca, Ankara'da bölgesel bir arıza olup olmadığını kontrol etmeliyiz. Müşteri numaranızı alabilir miyim, böylece hattınızı ve bölgedeki durumu kontrol edebiliriz?"
17,"Müşteri numarası 67890, internet bağlantısı çok yavaş.","Müşteri numarası 67890'a ait internet bağlantı hızınızın düştüğünü anlıyorum. Bu durumun olası nedenleri arasında ağda tıkanıklık, ISP altyapısında kapasite kısıtlaması veya cihazlarınızın arka planda yoğun trafik kullanması olabilir. Size yardımcı olabilmek için öncelikle hizmet durumunuzu kontrol edeceğim. Ardından, hız testi yaparak durumu netleştirebilir ve IP oturumunuzu sıfırlayarak iyileşme sağlayabiliriz."
18,"PlayStation WiFi'ye bağlanmıyor, diğer cihazlarım normal.","PlayStation'ınızın WiFi'ye bağlanamaması ancak diğer cihazlarınızın normal çalışması, genellikle PlayStation'ın ağ ayarları, IP oturumu veya WiFi kanal çakışmasından kaynaklanır. Müşteri numaranızı alarak IP oturumunuzu sıfırlamayı deneyebiliriz. Ayrıca, modeminizin WiFi kanal ayarlarını kontrol etmeniz de faydalı olabilir."
19,"İzmir'de yaşıyorum, internetim sadece gece kopuyor.","İzmir'de internetinizin sadece gece saatlerinde kopması, genellikle yoğun kullanım saatlerinde bölgesel ağ tıkanıklığı, rutin bakım çalışmaları veya yerel altyapı sorunlarından kaynaklanabilir. Size yardımcı olabilmek için müşteri numaranızı almam ve ardından İzmir bölgesindeki olası arızaları ve bakım çalışmalarını kontrol etmem gerekiyor."
20,"Modemim sürekli yanıp sönüyor, kararlı durmuyor.","Modeminizin sürekli yanıp sönmesi ve kararlı çalışmaması, hattınızda sinyal dalgalanmaları, güç sorunları veya modem arızasına işaret eder. Bu durumu çözmek için öncelikle modeminizi fişten çekip tekrar takarak bir güç döngüsü yapın. Müşteri numaranızı alarak hattınızın stabilite testini yapabilir ve gerekirse teknik destek ekibi sevk ederek arıza kaydı oluşturabiliriz."
21,"iPhone'um WiFi şifresini kabul etmiyor, diğer telefonlar çalışıyor.","iPhone'unuzun WiFi şifresini kabul etmemesi ancak diğer telefonların çalışması, genellikle iPhone'un ağ ayarları, kayıtlı ağ bilgileri veya IP oturumuyla ilgili bir sorun olabilir. Müşteri numaranızı alarak IP oturumunuzu sıfırlamayı deneyebiliriz. Ayrıca, iPhone'unuzdaki kayıtlı ağı silip tekrar bağlanmayı denemeniz de faydalı olabilir."
22,"Müşteri numarası 54321, sadece YouTube açılmıyor diğer siteler normal.","Müşteri numarası 54321'e ait sadece YouTube'a erişim sorununu anlıyorum. Bu tür sorunlar genellikle DNS ayarlarından, belirli bir servisin bölgesel engellemelerinden veya IP oturumu çakışmasından kaynaklanır. IP oturumunuzu sıfırlamayı deneyebiliriz ve size farklı DNS sunucusu ayarlarını denemenizi önerebilirim."
23,"Modemde sarı ışık yanıp sönüyor, internet bazen çalışıyor.","Modeminizdeki sarı ışığın yanıp sönmesi ve internetin ara sıra çalışması, genellikle hattınızda kararsız bir sinyal olduğunu veya DSL bağlantısında bir sorun olduğunu gösterir. Müşteri numaranızı alarak modem üzerindeki DSL ışığının durumunu kontrol etmeli ve hattınızda detaylı bir stabilite testi başlatmalıyız."
